Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,female_parl_ratio,female_labor_ratio
Latin America-Caribbean,Ecuador,2020,17546064.5,88.52362061,0.018136753,8.391396523,0.022002894,0.007959703,0.003411301,3.033472061,1,218,Ecuador,2020,ECU,17546058.0,162965075602.0,2.03,0.116,32.473,-7.609,-18.984,45.056,-21.228,-32.026,2.568,0.276,246.391,1.851,0.199,177.583,,,37.595,2.143,0.231,68.064,1220.366,5651.413,,77.459,32.965,4804.235,1041.316,,10421.851,1.122,1.948,0.111,1.03,0.059,2.667,4.374,12.582,0.717,22.87,1.303,4.868,0.277,27.465,1.565,,,182.862,0.125,0.092,0.114,,0.157,0.072,0.219,,0.418,0.013,0.541,0.177,,0.487,0.014,0.279,0.251,,0.251,0.001,0.003,0.004,0.0,76.739,46.792,5.122,15.774,39.4160583941606,48.241
Middle East-North Africa,Egypt,2020,109315123.5,4.821415901,95.17256927,0.004652523,5.40333e-05,0.000170961,0.000214229,0.000923006,1,818,Egypt,2020,EGY,109315118.0,1307778142529.0,21.615,0.198,246.323,12.263,5.239,249.394,12.663,5.349,2.281,0.191,252.703,2.253,0.188,249.592,5.401,0.049,259.97,2.378,0.199,502.109,6446.154,6769.689,164.712,126.019,2009.839,366.741,3643.475,,9028.072,0.755,4.437,0.041,116.631,1.067,2.673,2.893,3.07,0.028,46.511,0.425,21.796,0.199,98.241,0.899,,,986.905,1.331,0.701,0.629,0.038,1.156,0.38,0.262,0.021,0.681,0.82,0.041,0.618,,1.109,1.551,0.068,0.899,,0.358,0.002,0.003,0.006,0.0,316.237,292.151,13.647,5.54,27.4111675126904,14.609
Latin America-Caribbean,El Salvador,2020,6234673.5,87.10838318,0.003496097,11.88199902,0.006674367,0.001906962,0.001589135,0.995953739,1,222,El Salvador,2020,SLV,6234679.0,51960808936.0,0.357,0.057,6.135,-1.499,-19.639,6.295,-1.595,-20.221,1.01,0.121,187.475,0.984,0.118,182.713,0.0,0.0,9.032,1.449,0.174,17.271,232.043,828.244,0.192,0.0,,658.277,214.581,,5385.433,0.646,0.0,0.0,,,1.267,1.047,0.16,0.026,2.992,0.48,0.982,0.158,5.778,0.927,,,33.576,0.022,0.017,0.016,0.0,0.04,0.014,0.032,0.0,0.0,,0.074,0.036,,0.0,,0.004,0.053,,0.042,0.0,0.0,0.001,0.0,6.529,7.897,2.897,47.228,33.3333333333333,43.207
Sub-Saharan Africa,Equatorial Guinea,2020,1716468.5,88.68036652,4.048058987,4.98730135,0.04323177,0.049927894,0.062654741,2.128455639,1,226,Equatorial Guinea,2020,GNQ,1716479.0,19743252847.0,0.0,0.0,6.39,0.876,15.885,8.598,1.698,24.61,5.009,0.436,283.223,3.722,0.324,210.469,,,,,,0.0,134.875,98.378,,44.827,64.376,-103.641,25.673,,17686.465,1.538,0.813,0.474,4.606,2.683,6.438,8.091,2.209,1.287,4.633,2.699,0.051,0.03,0.971,0.566,,,30.358,0.0,0.018,0.022,,0.0,0.008,0.004,,0.242,0.026,-0.012,0.004,,0.203,0.061,0.049,0.009,,0.025,0.0,0.0,0.0,0.0,13.889,11.05,,,21.0,50.146
Sub-Saharan Africa,Eritrea,2020,3291270.5,46.6711731,51.66958237,1.061151981,0.000843676,0.030002011,0.000281225,0.566967666,1,232,Eritrea,2020,ERI,3291277.0,,0.062,0.019,0.641,-0.004,-0.569,9.532,0.275,2.973,2.896,,3774.606,0.195,,253.796,,,,,,1.137,16.23,129.309,,0.0,,230.919,15.093,,767.27,,0.0,0.0,,,0.639,3.339,8.891,2.701,4.613,1.402,1.638,0.498,0.579,0.176,,,2.525,0.004,0.002,0.024,,0.003,0.001,0.005,,0.0,,0.026,0.003,,0.0,,0.197,0.005,,0.019,0.0,0.0,0.0,0.0,10.989,2.103,,,,71.989
Europe,Estonia,2020,1329669.5,52.61386108,0.598115027,43.60287857,0.196146205,0.062808216,0.135394946,2.790795803,1,233,Estonia,2020,EST,1329675.0,37515273353.0,0.02,0.015,9.198,-3.09,-25.145,8.212,-2.722,-24.892,6.176,0.219,139.824,6.918,0.245,156.61,5.277,3.968,12.932,9.726,0.345,22.163,1629.044,1762.748,1164.904,2.842,72.145,218.636,364.773,2.218,44171.176,1.566,0.0,0.0,0.806,0.606,7.868,9.884,-0.986,-0.741,1.754,1.319,1.739,1.308,3.029,2.278,0.05,0.066,58.733,0.001,0.026,0.021,0.037,0.051,0.096,0.068,0.148,0.015,0.029,0.025,0.062,0.017,0.0,0.011,-0.022,0.028,0.016,0.065,0.0,0.001,0.001,0.0,13.143,10.462,3.734,40.597,28.7128712871287,57.133
Sub-Saharan Africa,Eswatini,2020,1192729.5,93.2284317,0.135700136,6.155977249,0.022890331,0.127168506,0.0169558,0.312879413,1,748,Eswatini,2020,SWZ,1192734.0,9034694873.0,0.0,0.0,0.989,-0.11,-10.0,1.414,-0.483,-25.462,1.186,0.157,206.639,0.829,0.109,144.559,0.142,0.119,,,,0.0,40.52,184.832,20.212,0.0,,296.278,20.308,,5737.607,0.757,0.0,0.0,,,,1.373,0.425,0.356,1.156,0.969,0.494,0.414,0.847,0.71,,,6.843,0.0,0.003,0.004,0.001,0.0,0.002,0.007,0.003,0.0,,0.033,0.003,,0.0,,0.009,0.008,,0.008,0.0,0.0,0.0,0.0,1.637,,,,9.58904109589041,46.452
Sub-Saharan Africa,Ethiopia,2020,118917671.5,61.57827377,36.24017715,0.062328301,0.001163285,0.002422591,0.004776543,2.110861063,1,231,Ethiopia,2020,ETH,118917670.0,237860193068.0,3.797,0.032,16.735,-0.442,-2.574,273.258,4.954,1.847,2.298,1.149,3975.499,0.141,0.07,243.47,1.7,0.014,20.954,0.176,0.088,36.975,259.955,6427.688,11.248,0.011,,8045.198,211.721,,578.009,0.289,0.0,0.0,,,0.46,2.051,256.523,2.157,118.374,0.995,52.185,0.439,11.237,0.094,,,68.735,0.234,0.048,0.689,0.012,0.085,0.015,0.249,0.001,0.0,,0.906,0.036,,0.0,,5.68,0.103,,0.505,0.004,0.003,0.008,0.001,243.9,54.661,4.219,25.211,38.7568555758684,59.297
Asia-Pacific,Fiji,2020,914963.0,69.51997375,5.780370712,0.251333505,0.064101033,24.10296059,0.020642705,0.260621518,1,242,Fiji,2020,FJI,914971.0,,0.0,0.0,1.37,-0.139,-9.223,1.207,0.056,4.84,1.32,,178.999,1.498,,203.132,,,,,,1.267,48.762,96.002,,0.0,,80.448,45.605,,7372.44,,0.0,0.0,,,2.054,2.462,-0.163,-0.178,0.807,0.883,0.218,0.239,1.37,1.498,,,6.746,0.0,0.004,0.003,,0.003,0.003,0.004,,0.0,,0.009,0.008,,0.0,,-0.004,0.013,,0.008,0.0,0.0,0.0,0.0,2.253,1.879,,,19.6078431372549,36.179
Europe,Finland,2020,5529612.0,72.28497314,1.610194445,25.04721832,0.314537853,0.147366583,0.062084887,0.533625603,1,246,Finland,2020,FIN,5529616.0,214988893865.0,0.57,0.103,37.72,-4.724,-11.13,66.031,-4.659,-6.591,11.941,0.307,210.324,6.821,0.175,120.147,11.853,2.143,51.133,9.247,0.238,47.995,3189.048,6501.332,1245.924,2.616,237.193,3489.006,1627.73,27.59,56776.078,1.46,0.076,0.014,4.382,0.792,8.234,15.492,28.311,5.12,7.145,1.292,7.283,1.317,20.261,3.664,0.105,0.579,313.95,0.035,0.107,0.166,0.083,0.11,0.188,0.252,0.158,0.014,0.097,0.393,0.276,0.21,0.019,0.058,0.627,0.185,0.14,0.234,0.0,0.003,0.004,0.0,85.664,45.531,13.413,35.56,46.0,55.175
Europe,France,2020,65905277.5,46.46761322,9.097817421,42.64575195,0.71300137,0.127766788,0.691686749,0.256361872,1,250,France,2020,FRA,65905273.0,2438594133224.0,6.197,0.094,281.515,-34.805,-11.003,279.464,-48.179,-14.705,4.24,0.115,114.334,4.272,0.115,115.174,23.854,0.362,398.958,6.054,0.164,700.467,38910.574,34713.934,19084.66,170.354,3583.876,-3875.836,15233.441,137.775,37087.555,1.002,2.136,0.032,80.065,1.215,4.766,5.52,-2.052,-0.031,68.697,1.042,36.383,0.552,165.543,2.512,0.056,3.719,2444.265,0.382,0.801,0.704,0.167,1.613,2.292,1.345,2.422,0.92,1.462,-0.436,2.583,1.047,0.534,1.065,-0.045,1.514,0.898,1.354,0.003,0.017,0.021,0.002,363.796,314.11,117.442,41.718,39.5147313691508,50.05
Asia-Pacific,French Polynesia,2020,279209.0,93.44609833,0.324589819,5.035518169,0.093618087,0.062930681,0.053901322,0.983344495,1,258,French Polynesia,2020,PYF,279218.0,,0.0,0.0,0.832,-0.059,-6.584,,,,,,,2.979,,225.282,,,,,,0.0,31.459,,,0.0,,,31.459,,13222.443,,0.0,0.0,,,,,,,,,,,0.832,2.979,,,3.692,0.0,0.002,,,0.0,0.002,,,0.0,,,0.005,,0.0,,,0.008,,0.001,,0.0,0.0,,,,,,,48.347
Sub-Saharan Africa,Gabon,2020,2322539.0,83.74291992,8.6376791,5.762040138,0.0,0.0,0.0,1.857362628,1,266,Gabon,2020,GAB,2322538.0,34525072669.0,0.205,0.088,5.636,0.029,0.514,12.85,1.217,10.463,5.533,0.372,806.613,2.427,0.163,353.781,,,,,,3.834,285.037,1020.742,,162.416,19.572,1057.075,99.207,,6859.322,0.461,2.76,1.188,0.931,0.401,8.172,11.302,7.214,3.106,13.215,5.69,0.598,0.258,1.74,0.749,,,15.931,0.013,0.016,0.032,,0.009,0.017,0.04,,0.877,0.008,0.119,0.017,,0.69,0.012,0.16,0.016,,0.078,0.001,0.001,0.001,0.0,26.249,18.981,,,14.7887323943662,39.063
Sub-Saharan Africa,Gambia,2020,2515733.5,2.893367529,97.00270844,0.017932352,0.0,0.066045195,0.0,0.019944005,1,270,Gambia,2020,GMB,2515744.0,4217390293.0,0.0,0.0,0.7,-0.011,-1.546,1.136,0.059,5.461,0.451,0.269,638.375,0.278,0.166,393.398,,,,,,0.0,14.568,69.573,,0.0,,90.326,14.568,,707.116,0.422,0.0,0.0,,,0.516,1.214,0.436,0.173,1.384,0.55,0.318,0.126,0.7,0.278,,,1.779,0.0,0.002,0.003,,0.0,0.001,0.003,,0.0,,0.01,0.002,,0.0,,0.01,0.006,,0.006,0.0,0.0,0.0,0.0,3.054,1.298,,,8.62068965517241,44.823
Europe,Georgia,2020,3795678.0,88.17262268,10.46078014,0.988308668,0.011647883,0.012154249,0.044509161,0.309977889,1,268,Georgia,2020,GEO,3795680.0,57984758412.0,0.73,0.192,10.378,-0.139,-1.323,2.693,1.529,131.313,0.71,0.046,47.356,2.734,0.179,182.491,0.861,0.227,14.218,3.746,0.245,21.397,615.928,215.995,83.428,2.795,247.906,-348.326,260.401,,14982.388,0.981,0.005,0.001,5.324,1.403,3.476,2.635,-7.685,-2.025,3.078,0.811,1.685,0.444,3.459,0.911,,,56.868,0.045,0.03,0.007,0.006,0.049,0.036,0.008,0.011,0.015,0.101,-0.039,0.044,,0.001,0.071,-0.17,0.032,,0.031,0.0,0.0,0.0,0.0,10.002,13.193,3.84,37.001,20.6666666666667,55.206
Europe,Germany,2020,83628708.5,56.23487854,6.548741341,36.14769745,0.343751937,0.156519756,0.141607389,0.426800668,1,276,Germany,2020,DEU,83628711.0,3742721113842.0,13.357,0.16,647.177,-61.472,-8.675,642.342,-60.251,-8.576,7.681,0.172,183.583,7.739,0.173,184.965,198.53,2.374,777.624,9.299,0.208,1193.373,92623.75,92413.828,64412.121,91.775,7016.906,29.591,19621.961,287.612,41838.684,0.935,1.821,0.022,170.963,2.044,8.201,8.894,-4.834,-0.058,61.045,0.73,36.143,0.432,254.465,3.043,0.096,8.039,3498.915,0.822,1.841,1.619,1.392,2.747,5.455,3.58,8.174,0.496,2.863,0.003,3.327,2.186,0.455,2.273,-0.107,2.328,1.942,3.04,0.004,0.042,0.048,0.002,743.816,685.843,130.447,20.156,31.1706629055007,55.113
Sub-Saharan Africa,Ghana,2020,31887809.0,71.28790283,19.87060738,1.068349838,0.0,0.0,0.0,7.773138046,1,288,Ghana,2020,GHA,31887802.0,133733644694.0,0.037,0.001,19.164,2.749,16.746,35.26,-0.994,-2.742,1.106,0.264,374.47,0.601,0.143,203.525,,,23.964,0.752,0.179,0.235,344.077,2554.772,,3.147,25.002,3776.823,311.529,,2952.874,0.704,0.664,0.021,6.208,0.195,1.05,1.7,16.096,0.505,19.632,0.616,6.45,0.202,12.255,0.384,,,94.161,0.002,0.055,0.089,,0.001,0.02,0.099,,0.017,0.01,0.425,0.053,,0.166,0.083,0.356,0.112,,0.11,0.001,0.001,0.002,0.0,54.212,33.486,4.8,25.045,13.0909090909091,57.957
Europe,Greece,2020,10699369.0,89.47636414,5.120216846,4.742371082,0.024676016,0.085614547,0.039002184,0.511751652,1,300,Greece,2020,GRC,10699370.0,229777821500.0,2.978,0.278,55.577,-10.159,-15.455,36.835,-4.696,-11.308,3.443,0.16,133.0,5.194,0.242,200.671,10.147,0.948,68.584,6.41,0.298,279.617,4076.292,5146.804,1626.854,0.412,156.586,1446.31,1987.891,24.932,25885.273,1.205,0.005,0.0,11.043,1.032,5.936,5.784,-18.742,-1.752,11.023,1.03,4.328,0.405,31.009,2.898,0.037,0.395,276.956,0.183,0.158,0.093,0.071,0.644,0.24,0.199,0.206,0.002,0.064,0.163,0.337,0.19,0.001,0.147,-0.415,0.284,0.095,0.186,0.001,0.002,0.003,0.0,61.884,63.513,13.007,23.403,21.6666666666667,42.721
Latin America-Caribbean,Grenada,2020,116341.0,87.4744339,0.394664824,5.773053169,0.0,0.201653555,0.0,6.156195164,1,308,Grenada,2020,GRD,116353.0,,0.0,0.0,0.289,-0.044,-13.187,0.186,-0.047,-20.009,1.599,,140.537,2.488,,218.681,,,,,,0.0,8.255,5.096,,0.0,,-1.482,8.255,,11376.105,,0.0,0.0,,,2.83,2.638,-0.103,-0.889,0.047,0.405,0.01,0.088,0.289,2.488,,,1.324,0.0,0.001,0.0,,0.0,0.0,0.0,,0.0,,-0.0,0.001,,0.0,,-0.002,0.003,,0.0,0.0,0.0,0.0,0.0,0.307,0.329,,,46.6666666666667,
Latin America-Caribbean,Guatemala,2020,17357325.5,91.95026398,0.002706949,6.020942211,0.005471494,0.001324677,0.00518352,2.014109135,1,320,Guatemala,2020,GTM,17357331.0,130197392340.0,1.244,0.072,17.157,-2.102,-10.914,46.219,-5.888,-11.301,2.663,0.355,517.536,0.988,0.132,192.116,2.913,0.168,21.947,1.264,0.169,30.216,437.252,4320.453,45.46,0.734,,4046.588,360.402,,5145.093,0.686,0.113,0.007,,,1.64,3.565,29.062,1.674,17.113,0.986,5.158,0.297,12.886,0.742,,,89.305,0.077,0.049,0.116,0.02,0.07,0.026,0.167,0.006,0.004,,0.456,0.061,,0.028,,0.643,0.118,,0.181,0.001,0.002,0.003,0.0,61.879,28.465,4.79,27.92,19.375,38.299
Sub-Saharan Africa,Guinea,2020,13371183.0,11.70807648,86.80789185,1.319620252,0.085958868,0.0,0.0,0.078451402,1,324,Guinea,2020,GIN,13371185.0,21528646361.0,0.0,0.0,4.43,0.326,7.945,66.125,-8.377,-11.243,4.945,3.071,3180.615,0.331,0.206,213.094,,,5.954,0.445,0.277,0.0,89.915,2583.737,,0.0,,5540.313,89.698,,1554.841,0.966,0.0,0.0,,,0.711,6.178,61.695,4.614,19.68,1.472,6.739,0.504,4.43,0.331,,,20.79,0.0,0.013,0.167,,0.0,0.005,0.1,,0.0,,0.624,0.015,,0.0,,1.366,0.041,,0.173,0.001,0.002,0.003,0.0,82.603,9.507,1.524,34.402,16.6666666666667,41.854
Sub-Saharan Africa,Guinea-Bissau,2020,2013255.0,21.71777916,55.97904205,11.62231159,0.0,0.0,0.0,10.68086529,1,624,Guinea-Bissau,2020,GNB,2013259.0,2939793794.0,0.0,0.0,0.311,0.055,21.429,4.775,0.826,20.911,2.372,1.624,3398.75,0.155,0.106,221.663,,,,,,0.0,6.929,220.712,,0.0,,297.281,6.929,,697.88,0.478,0.0,0.0,,,0.595,3.818,4.464,2.217,2.034,1.01,0.81,0.402,0.311,0.155,,,1.405,0.0,0.001,0.012,,0.0,0.0,0.009,,0.0,,0.033,0.001,,0.0,,0.099,0.003,,0.013,0.0,0.0,0.0,0.0,7.686,1.199,,,13.7254901960784,56.768
Latin America-Caribbean,Guyana,2020,807481.5,65.87551117,6.504891396,2.908345699,0.03135968,23.3990097,0.037631616,1.243247032,1,328,Guyana,2020,GUY,807486.0,,0.0,0.0,3.1,0.455,17.203,7.801,1.723,28.35,9.661,,694.244,3.839,,275.895,0.0,0.0,,,,0.0,101.123,594.415,0.048,0.528,0.004,854.306,100.543,,13916.222,,0.528,0.654,0.004,0.005,5.179,14.396,4.701,5.822,2.577,3.192,0.599,0.742,2.568,3.181,,,11.237,0.0,0.009,0.02,0.0,0.0,0.006,0.023,0.0,0.003,0.0,0.096,0.017,,0.132,0.0,0.104,0.023,,0.034,0.0,0.0,0.001,0.0,11.624,4.182,,,35.7142857142857,40.299
Latin America-Caribbean,Haiti,2020,11243848.0,88.71865845,0.001857289,9.434687614,0.003183924,0.0,0.002122616,1.839487433,1,332,Haiti,2020,HTI,11243846.0,18185520397.0,0.107,0.01,3.265,0.147,4.699,1.149,1.785,-280.457,0.102,0.063,80.798,0.29,0.18,229.655,,,,,,4.294,76.631,815.19,,0.0,,780.663,71.1,,1264.574,0.782,0.0,0.0,,,0.824,1.153,-2.117,-0.188,8.906,0.792,1.65,0.147,3.158,0.281,,,14.219,0.007,0.009,0.003,,0.01,0.005,0.032,,0.0,,0.088,0.012,,0.0,,-0.047,0.029,,0.044,0.0,0.0,0.001,0.0,12.96,9.266,,,,61.366
Latin America-Caribbean,Honduras,2020,10119640.5,88.47241211,0.002766317,9.74390316,0.005433836,0.001284361,0.005927821,1.768275499,1,340,Honduras,2020,HND,10119638.0,42499283305.0,0.634,0.063,9.977,-0.986,-8.992,26.106,2.153,8.989,2.58,0.614,607.261,0.986,0.235,232.073,,,8.354,0.826,0.197,20.255,262.179,3485.339,,0.0,,3344.885,236.061,,4248.167,1.012,0.0,0.0,,,1.4,3.31,16.129,1.594,8.802,0.87,2.995,0.296,9.343,0.923,,,42.99,0.039,0.028,0.066,,0.047,0.015,0.135,,0.0,,0.377,0.04,,0.0,,0.357,0.085,,0.124,0.0,0.002,0.002,0.0,33.495,14.165,-1.623,-16.265,21.09375,47.039
Asia-Pacific,Hong Kong,2020,7490235.5,18.74611092,0.268034786,71.3547821,8.411982536,0.303390741,0.03234078,0.883353889,1,344,Hong Kong,2020,HKG,7490240.0,347263059452.0,0.585,0.078,33.513,-8.384,-20.01,,,,,,,4.474,0.097,129.922,12.447,1.662,119.866,16.003,0.345,29.495,1619.62,,778.363,0.0,127.414,,684.347,,34437.715,0.743,0.0,0.0,9.431,1.259,5.2,5.207,,,4.948,0.661,0.538,0.072,11.051,1.475,,,257.947,0.036,0.095,,0.087,0.068,0.095,,0.099,0.0,0.052,,0.116,,0.0,0.125,,0.101,,0.06,0.0,0.001,0.001,0.0,38.999,38.947,86.353,257.669,,53.728
Europe,Hungary,2020,9749456.5,72.36884308,0.139223918,26.97590637,0.192222267,0.057621021,0.132964462,0.133217916,1,348,Hungary,2020,HUN,9749459.0,254563881936.0,0.929,0.095,47.105,-2.054,-4.178,42.103,7.134,20.4,4.319,0.165,155.749,4.832,0.185,174.253,7.511,0.77,60.474,6.203,0.238,89.169,5009.938,5621.848,2614.563,12.716,1009.843,629.139,1260.638,23.009,27727.416,1.062,0.162,0.017,20.554,2.108,5.608,6.137,-5.002,-0.513,9.415,0.966,6.338,0.65,17.463,1.791,0.05,0.487,270.327,0.057,0.134,0.106,0.053,0.205,0.295,0.218,0.332,0.069,0.412,0.071,0.214,0.175,0.041,0.273,-0.111,0.16,0.118,0.197,0.0,0.002,0.003,0.0,59.828,54.676,13.369,28.38,12.0603015075377,51.34
Europe,Iceland,2020,366614.0,74.91873932,1.212648392,19.84541512,1.33994174,0.160479277,0.155474246,2.367298365,1,352,Iceland,2020,ISL,366626.0,14424580947.0,0.0,0.0,3.339,-0.214,-6.016,3.654,-0.226,-5.823,9.965,0.253,62.904,9.107,0.231,57.487,0.668,1.821,,,,2.751,157.286,258.809,22.433,4.083,0.01,202.676,127.713,0.296,158421.688,4.027,0.175,0.477,0.003,0.008,10.008,12.589,0.315,0.858,0.606,1.653,0.352,0.959,2.481,6.767,0.034,0.012,58.082,0.0,0.009,0.009,0.005,0.006,0.009,0.01,0.003,0.022,0.0,0.023,0.022,0.002,0.044,0.0,0.007,0.023,0.003,0.012,0.0,0.0,0.0,0.0,4.615,3.669,,,38.0952380952381,69.309
Asia-Pacific,India,2020,1402617696.0,2.214620113,15.19001579,0.003259997,0.680662572,79.36618805,0.000301379,2.544952393,1,356,India,2020,IND,1402617694.0,8945313249462.0,122.908,0.088,2422.732,-188.443,-7.217,2502.404,-204.134,-7.542,1.784,0.28,284.616,1.727,0.271,275.554,1561.799,1.113,2085.132,1.487,0.233,2475.325,54309.387,93697.594,34947.727,166.694,2494.236,41903.371,14225.403,,6268.437,0.983,2.806,0.002,127.684,0.091,1.955,2.45,79.672,0.057,807.835,0.576,289.398,0.206,607.535,0.433,,,8792.22,7.568,6.891,6.307,10.947,5.699,3.198,3.629,4.435,0.9,1.018,4.718,2.412,,0.701,1.698,1.764,5.557,,4.591,0.03,0.036,0.073,0.006,3436.429,2742.09,-337.6,-13.935,14.3646408839779,25.998
Asia-Pacific,Indonesia,2020,274814865.5,10.26230717,86.96417999,0.092005208,0.677527726,1.584296703,0.001059009,0.418626547,1,360,Indonesia,2020,IDN,274814861.0,3204972631957.0,29.791,0.108,623.304,-41.745,-6.277,1293.168,-390.842,-23.209,4.706,0.403,611.048,2.268,0.194,294.524,300.518,1.094,629.83,2.292,0.197,657.076,14454.39,81486.602,3736.691,416.61,2447.67,76087.641,7196.344,,7700.858,0.66,3.525,0.013,81.216,0.296,3.243,6.279,669.864,2.438,351.989,1.281,71.733,0.261,208.254,0.758,,,2116.31,1.834,1.773,3.259,2.106,1.513,0.851,3.156,0.474,2.25,0.999,8.567,1.22,,0.881,1.08,14.831,1.905,,3.276,0.012,0.039,0.052,0.001,1725.431,891.273,6.526,1.047,20.3478260869565,53.203
Asia-Pacific,Iran,2020,87723443.0,0.14260982,99.77310944,5.01292e-05,1.87587e-05,0.000219217,0.009242157,0.074749671,1,364,Iran,2020,IRN,87723448.0,1446203709942.0,38.808,0.442,745.596,18.327,2.52,755.071,7.239,0.968,8.607,0.522,220.692,8.499,0.516,217.923,6.504,0.074,651.961,7.432,0.451,710.405,18681.627,20265.66,215.877,1595.453,7045.029,2348.427,9114.862,,39001.836,2.366,24.925,0.284,465.334,5.305,9.931,10.414,9.475,0.108,132.591,1.511,29.225,0.333,210.025,2.394,,,3421.375,2.39,2.121,1.903,0.046,1.636,1.1,0.785,0.027,8.618,2.874,0.264,1.545,,6.231,6.187,0.21,1.921,,1.015,0.006,0.009,0.016,0.001,913.564,871.182,-93.634,-12.558,5.59440559440559,13.723
Middle East-North Africa,Iraq,2020,42116604.5,0.374980688,99.49835968,0.000798929,0.0,0.000493456,0.0,0.125364259,1,368,Iraq,2020,IRQ,42116602.0,453147782672.0,11.309,0.269,172.098,-19.68,-10.262,173.823,-19.824,-10.237,4.127,0.384,292.253,4.086,0.38,289.353,0.0,0.0,,,,162.403,4478.44,4964.073,0.191,811.538,410.643,636.529,3093.666,,14121.946,1.313,32.663,0.776,35.105,0.834,7.662,7.902,1.725,0.041,152.015,3.609,7.326,0.174,93.022,2.209,,,594.768,0.696,0.489,0.438,0.0,0.374,0.264,0.192,0.0,4.384,0.168,0.072,0.524,,8.166,0.467,0.038,0.851,,0.451,0.005,0.002,0.007,0.0,332.8,322.68,,,26.4437689969605,10.885
Europe,Ireland,2020,4982606.5,81.21601868,1.691199064,15.6012392,0.193803862,0.694914162,0.054588255,0.548237681,1,372,Ireland,2020,IRL,4982602.0,274762344680.0,1.77,0.355,35.053,-2.147,-5.772,35.92,-5.512,-13.304,7.209,0.131,203.418,7.035,0.128,198.505,3.757,0.754,39.791,7.986,0.145,71.714,2225.398,2402.608,877.678,0.103,294.297,223.271,962.021,19.585,35439.918,0.643,0.0,0.0,10.954,2.198,7.624,12.626,0.868,0.174,17.725,3.557,9.022,1.811,18.003,3.613,0.114,0.568,176.583,0.109,0.1,0.091,0.026,0.165,0.131,0.093,0.111,0.001,0.12,0.025,0.163,0.149,0.0,0.146,0.019,0.165,0.137,0.065,-0.001,0.001,0.001,0.0,62.909,37.986,4.738,13.517,22.5,55.055
Middle East-North Africa,Israel,2020,8800376.0,1.879276514,14.73149681,4.374664307,0.042839181,0.166129664,77.0493927,1.756201863,1,376,Israel,2020,ISR,8800380.0,291287719910.0,1.72,0.195,59.285,0.335,0.569,59.689,-0.02,-0.034,6.783,0.205,209.335,6.737,0.204,207.92,17.096,1.943,84.528,9.605,0.29,84.67,2378.399,2419.047,786.264,0.007,185.295,41.036,1322.164,,32400.352,0.979,0.0,0.0,22.171,2.519,7.739,7.968,0.404,0.046,8.162,0.927,2.527,0.287,18.298,2.079,,,285.135,0.106,0.169,0.15,0.12,0.195,0.14,0.094,0.1,0.0,0.076,0.005,0.224,,0.0,0.295,0.009,0.167,,0.097,0.0,0.001,0.002,0.0,70.125,68.105,25.243,42.579,27.5,59.403
Europe,Italy,2020,59912769.0,80.47179413,4.419428349,13.27242947,0.613567829,0.425853163,0.071020424,0.725903451,1,380,Italy,2020,ITA,59912763.0,1925751927111.0,7.059,0.118,302.6,-37.038,-10.905,274.019,-42.721,-13.488,4.574,0.142,164.732,5.051,0.157,181.914,22.119,0.369,402.237,6.714,0.209,942.057,24715.68,24882.057,4709.639,93.803,5356.946,442.501,13464.721,148.514,27764.078,0.864,2.112,0.035,140.818,2.35,5.49,5.864,-28.581,-0.477,44.653,0.745,15.391,0.257,127.568,2.129,0.049,2.923,1663.423,0.435,0.861,0.691,0.155,2.169,1.456,0.964,0.598,0.507,2.185,0.05,2.283,1.129,0.528,1.872,-0.633,1.167,0.706,0.904,0.002,0.011,0.014,0.001,351.307,328.9,99.637,32.927,35.7142857142857,39.501
