Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,female_parl_ratio,female_labor_ratio
Asia-Pacific,Singapore,2020,5620150.5,18.75891685,16.13864326,19.89608192,30.80149078,5.29460001,0.015228762,9.095038414,1,702,Singapore,2020,SGP,5620151.0,409204971045.0,0.0,0.0,46.7,-2.3,-4.694,46.805,-2.269,-4.623,8.328,0.114,51.244,8.309,0.114,51.129,1.641,0.292,155.603,27.687,0.38,0.0,2043.684,2049.128,20.41,0.0,328.367,20.769,1694.907,,162517.109,2.232,0.0,0.0,21.116,3.757,9.407,9.434,0.105,0.019,4.85,0.863,1.337,0.238,23.943,4.26,,,913.371,0.0,0.133,0.118,0.012,0.0,0.12,0.079,0.003,0.0,0.134,0.002,0.287,,0.0,0.281,0.002,0.219,,0.075,0.0,0.001,0.001,0.0,53.023,52.867,108.903,233.198,29.4736842105263,61.72
Europe,Slovakia,2020,5455023.5,73.74530029,0.054791708,25.32966995,0.122730501,0.017808132,0.037891094,0.691805959,1,703,Slovakia,2020,SVK,5455028.0,143565091421.0,1.443,0.265,31.176,-2.677,-7.908,34.308,-3.424,-9.074,6.289,0.239,189.417,5.715,0.217,172.125,9.854,1.806,35.936,6.588,0.25,87.807,3901.624,4394.015,2657.866,2.317,502.121,539.685,619.583,31.93,33203.387,1.262,0.08,0.015,9.492,1.74,6.923,6.387,3.132,0.574,5.783,1.06,3.279,0.601,9.518,1.745,0.145,0.788,181.125,0.089,0.089,0.086,0.069,0.202,0.23,0.17,0.337,0.013,0.205,0.061,0.105,0.243,0.02,0.126,0.069,0.087,0.19,0.153,0.0,0.002,0.002,0.0,34.839,37.768,4.759,15.266,22.6666666666667,51.796
Europe,Slovenia,2020,2102419.5,65.41543579,1.608627558,32.26738739,0.038389336,0.010602368,0.023140971,0.636416554,1,705,Slovenia,2020,SVN,2102421.0,60849951865.0,0.475,0.226,12.873,-1.18,-8.397,15.704,-1.949,-11.039,7.47,0.258,203.174,6.123,0.212,166.543,4.391,2.089,18.427,8.765,0.303,27.757,860.834,1155.131,376.323,4.492,67.946,383.869,379.571,4.747,36764.934,1.27,0.125,0.06,1.763,0.838,7.046,9.393,2.831,1.347,2.828,1.345,0.786,0.374,5.996,2.852,0.059,0.123,77.295,0.029,0.037,0.04,0.031,0.064,0.051,0.045,0.048,0.024,0.028,0.043,0.064,0.036,0.031,0.023,0.063,0.055,0.03,0.045,0.0,0.001,0.001,0.0,19.748,14.813,5.554,43.146,27.7777777777778,53.105
Asia-Pacific,Solomon Islands,2020,744498.0,95.02237701,0.339874893,0.327515811,0.339874893,0.007233896,0.0,3.963122845,1,90,Solomon Islands,2020,SLB,744505.0,,0.0,0.0,0.293,-0.004,-1.235,5.881,-0.465,-7.335,7.899,,4509.187,0.394,,224.756,,,,,,0.0,10.461,186.176,,0.0,,194.152,10.461,,1751.731,,0.0,0.0,,,0.697,4.878,5.588,7.505,0.27,0.362,0.034,0.046,0.293,0.394,,,1.304,0.0,0.001,0.015,,0.0,0.001,0.007,,0.0,,0.022,0.002,,0.0,,0.124,0.003,,0.004,0.0,0.0,0.0,0.0,3.632,0.519,,,6.38297872340426,81.602
Sub-Saharan Africa,Somalia,2020,16651190.5,0.026225021,99.83339691,0.016120082,0.0,0.039998192,0.0,0.08425606,1,706,Somalia,2020,SOM,16651200.0,,0.0,0.0,1.14,0.07,6.507,24.727,1.136,4.816,1.485,,4353.31,0.068,,200.613,,,,,,0.104,36.891,1014.367,,0.0,,1081.418,36.787,,341.123,,0.0,0.0,,,0.567,2.752,23.588,1.417,25.398,1.525,6.399,0.384,1.14,0.068,,,5.68,0.0,0.003,0.062,,0.0,0.002,0.039,,0.0,,0.122,0.006,,0.0,,0.522,0.01,,0.093,0.001,0.0,0.001,0.0,45.825,9.439,,,24.3636363636364,20.892
Sub-Saharan Africa,South Africa,2020,60562381.0,85.25711823,1.604882717,3.122110128,0.035529964,1.065007329,0.065178007,8.850171089,1,710,South Africa,2020,ZAF,60562374.0,675871755463.0,5.071,0.084,435.298,-35.43,-7.527,438.078,-35.031,-7.404,7.233,0.648,313.003,7.188,0.644,311.016,374.003,6.176,335.338,5.537,0.496,249.321,21082.285,27936.246,18257.785,4.074,190.22,7210.279,2380.886,,23110.006,2.071,0.055,0.001,9.563,0.158,8.399,8.939,2.78,0.046,83.513,1.379,19.836,0.328,46.606,0.77,,,1399.597,0.312,1.238,1.104,2.621,0.574,1.242,1.082,2.317,0.022,0.078,0.812,0.404,,0.014,0.127,0.062,0.426,,0.998,0.004,0.011,0.016,0.001,541.341,508.692,-99.959,-22.963,46.75,44.148
Asia-Pacific,South Korea,2020,51858481.5,31.9855442,0.310002804,48.26361847,19.0005722,0.091812678,0.000192884,0.34825626,1,410,South Korea,2020,KOR,51858481.0,2001231642062.0,22.866,0.441,597.634,-48.468,-7.502,592.14,-49.16,-7.666,11.418,0.296,174.687,11.524,0.299,176.308,282.883,5.455,682.038,13.152,0.341,935.845,18311.74,18594.158,8073.529,0.0,1956.911,380.529,7143.174,202.281,65364.605,1.694,0.0,0.0,116.635,2.249,12.146,12.277,-5.495,-0.106,32.963,0.636,14.269,0.275,165.068,3.183,0.196,10.183,3389.709,1.408,1.7,1.492,1.983,2.155,1.078,0.72,1.025,0.0,0.798,0.043,1.211,1.538,0.0,1.551,-0.122,1.51,2.46,0.621,0.001,0.008,0.01,0.0,636.649,629.885,84.403,14.123,19.0,53.137
Sub-Saharan Africa,South Sudan,2020,10698467.0,60.50164413,6.223001957,0.440300107,0.002269128,0.00200112,0.0,32.83078384,1,728,South Sudan,2020,SSD,10698471.0,,0.0,0.0,1.707,-0.062,-3.52,32.123,23.707,281.658,3.003,,4781.624,0.16,,254.152,,,,,,0.0,38.794,1579.865,,0.0,,2070.141,38.689,,627.951,,0.0,0.0,,,0.562,6.276,30.416,2.843,33.521,3.133,20.39,1.906,1.707,0.16,,,6.718,0.0,0.005,0.081,,0.0,0.002,0.061,,0.0,,0.233,0.007,,0.0,,0.673,0.016,,0.158,0.001,0.001,0.003,0.001,67.142,6.015,,,28.4595300261097,70.996
Europe,Spain,2020,47679489.0,69.45676422,3.575252533,26.35974312,0.01773273,0.12520808,0.027235987,0.4380669,1,724,Spain,2020,ESP,47679482.0,1460507935923.0,8.192,0.172,211.765,-38.909,-15.522,190.759,-36.954,-16.228,4.001,0.131,134.058,4.441,0.145,148.82,14.23,0.298,251.864,5.282,0.172,696.407,14801.396,16859.268,4820.685,81.769,1585.931,2060.117,7505.951,110.653,29844.283,0.974,3.622,0.076,64.231,1.347,4.952,5.523,-21.006,-0.441,46.022,0.965,21.774,0.457,118.78,2.491,0.057,2.711,1422.96,0.504,0.602,0.481,0.1,1.603,0.872,0.653,0.612,0.442,0.647,0.232,1.273,0.841,0.905,0.854,-0.465,1.087,0.655,0.622,0.002,0.007,0.01,0.001,263.355,236.116,40.1,18.936,44.0,50.922
Asia-Pacific,Sri Lanka,2020,22561807.0,5.590357304,10.20240116,0.069881201,69.59994507,14.53492832,0.000276306,0.002210445,1,144,Sri Lanka,2020,LKA,22561808.0,269918239631.0,0.363,0.016,20.412,-0.693,-3.284,29.767,-2.245,-7.014,1.319,0.11,283.549,0.905,0.076,194.44,7.094,0.314,41.853,1.855,0.155,14.35,488.68,2127.954,56.482,0.0,,2784.401,417.849,,4653.029,0.389,0.0,0.0,,,1.185,1.847,9.355,0.415,10.423,0.462,2.989,0.132,12.956,0.574,,,104.981,0.022,0.058,0.075,0.05,0.033,0.029,0.082,0.007,0.0,,0.313,0.071,,0.0,,0.207,0.119,,0.108,0.0,0.001,0.002,0.0,41.682,26.74,21.441,105.038,5.38116591928251,31.663
