Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
Sub-Saharan Africa,Burkina Faso,2020,21478689.5,28.00436592,67.40969849,0.575799108,0.001254494,0.000604015,0,4.008277893,1,854
Sub-Saharan Africa,Burundi,2010,9376444.5,95.40552521,2.074027777,1.859102368,0.00010957,0.007044393,0.00021914,0.653967619,1,108
Sub-Saharan Africa,Burundi,2020,12617036,94.98027802,2.993593693,1.25295496,0.000163663,0.007467602,0.000163663,0.765379548,1,108
Asia-Pacific,Cambodia,2010,14500726,0.371981323,1.904454947,0.093291819,96.92893219,0.00090507,0,0.700432837,1,116
Asia-Pacific,Cambodia,2020,16725473.5,0.316419482,2.0429039,0.079039522,97.09085846,0.000792835,0,0.469986796,1,116
Sub-Saharan Africa,Cameroon,2010,19668066,71.66581726,21.3280201,3.075546026,0.001808902,0.006340458,0.006340458,3.916128159,1,120
Sub-Saharan Africa,Cameroon,2020,26210558,69.8339386,25.15727043,2.079864502,0.00181991,0.007430334,0.00637948,2.913296461,1,120
North America,Canada,2010,34196898.5,67.24938202,3.249471426,23.85477829,1.105837107,1.585132122,1.000176191,1.955220342,1,124
North America,Canada,2020,38171902,53.32112503,4.887863159,34.62942886,1.73734796,1.524757147,0.923046291,2.976430178,1,124
Sub-Saharan Africa,Cape Verde,2010,509784.5,85.70175171,0.284123808,13.59159279,0.00575581,0.001534883,0.012854642,0.402387083,1,132
Sub-Saharan Africa,Cape Verde,2020,514679.5,78.29804993,0.312664807,20.61620522,0.005148977,0.001373061,0.012357545,0.754201949,1,132
Sub-Saharan Africa,Central African Republic,2010,4492995.5,89.76293182,8.395126343,0.99822861,0.002145892,0.001072946,0.003433427,0.837059915,1,140
Sub-Saharan Africa,Central African Republic,2020,5026628.5,90.67516327,6.241037846,0.452453792,0.001871601,0.002433081,0.003181721,2.623856306,1,140
Sub-Saharan Africa,Chad,2010,12312575,39.54836273,57.27845764,2.689516068,0.011265496,0.011265496,0,0.46113503,1,148
Sub-Saharan Africa,Chad,2020,17224679,38.89405441,56.35778046,3.13465786,0.010874331,0.009997175,0,1.592638016,1,148
Europe,Channel Islands,2010,158620,85.37067413,0.07824678,14.05988979,0.003458555,0.080060706,0.064853951,0.342814118,1,830
Europe,Channel Islands,2020,166235.5,85.20330048,0.079690456,14.21615696,0.003512441,0.081575029,0.066504717,0.349259347,1,830
Latin America-Caribbean,Chile,2010,17181464,86.02832031,0.007351141,13.58162022,0.016725965,0.004410685,0.163209602,0.198364034,1,152
Latin America-Caribbean,Chile,2020,19370624,68.32601929,0.066993728,30.26606369,0.038323306,0.005335507,0.081571691,1.215691566,1,152
Asia-Pacific,China,2010,1351561514,2.308143377,1.533653378,87.4220047,5.630384922,0.001662713,0.000228953,3.103920698,1,156
Asia-Pacific,China,2020,1426106093,1.78475678,1.821801543,89.6231308,3.742975712,0.00204179,0.000213027,3.025080681,1,156
Latin America-Caribbean,Colombia,2010,44777319,92.42011261,0.00301231,7.244157791,0.003614772,0.00091485,0.005801485,0.322387397,1,170
Latin America-Caribbean,Colombia,2020,50629997.5,86.2469635,0.003926908,9.943602562,0.009221531,0.001024615,0.004137866,3.791124821,1,170
